start
12:46:09 up 6:42, 1 user, load average: 0,61, 0,46, 0,26
12:46:14 up 6:42, 1 user, load average: 1,60, 0,67, 0,33
12:46:17 up 6:42, 1 user, load average: 1,60, 0,67, 0,33
12:46:19 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:21 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:24 up 6:42, 1 user, load average: 2,19, 0,81, 0,37
12:46:26 up 6:42, 1 user, load average: 2,82, 0,96, 0,42
12:46:28 up 6:42, 1 user, load average: 2,82, 0,96, 0,42
12:46:30 up 6:42, 1 user, load average: 2,59, 0,94, 0,42
12:46:33 up 6:42, 1 user, load average: 2,59, 0,94, 0,42
12:46:35 up 6:42, 1 user, load average: 3,35, 1,13, 0,48
12:46:37 up 6:42, 1 user, load average: 3,35, 1,13, 0,48
12:46:39 up 6:43, 1 user, load average: 3,72, 1,24, 0,52
12:46:42 up 6:43, 1 user, load average: 3,72, 1,24, 0,52
12:46:44 up 6:43, 1 user, load average: 4,14, 1,37, 0,57
12:46:46 up 6:43, 1 user, load average: 4,14, 1,37, 0,57
12:46:49 up 6:43, 1 user, load average: 4,14, 1,37, 0,57
12:46:51 up 6:43, 1 user, load average: 4,69, 1,53, 0,63
12:46:53 up 6:43, 1 user, load average: 4,69, 1,53, 0,63
12:46:55 up 6:43, 1 user, load average: 5,04, 1,66, 0,67
12:46:58 up 6:43, 1 user, load average: 5,04, 1,66, 0,67
12:47:00 up 6:43, 1 user, load average: 5,60, 1,83, 0,73
12:47:02 up 6:43, 1 user, load average: 5,60, 1,83, 0,73
12:47:05 up 6:43, 1 user, load average: 5,87, 1,95, 0,78
12:47:07 up 6:43, 1 user, load average: 5,87, 1,95, 0,78
12:47:09 up 6:43, 1 user, load average: 6,28, 2,10, 0,83
12:47:11 up 6:43, 1 user, load average: 6,28, 2,10, 0,83
12:47:14 up 6:43, 1 user, load average: 6,28, 2,10, 0,83
12:47:16 up 6:43, 1 user, load average: 6,58, 2,23, 0,88
12:47:18 up 6:43, 1 user, load average: 6,58, 2,23, 0,88
12:47:20 up 6:43, 1 user, load average: 6,53, 2,29, 0,91
12:47:23 up 6:43, 1 user, load average: 6,53, 2,29, 0,91
12:47:25 up 6:43, 1 user, load average: 6,89, 2,44, 0,96
12:47:27 up 6:43, 1 user, load average: 6,89, 2,44, 0,96
12:47:29 up 6:43, 1 user, load average: 7,38, 2,61, 1,03
12:47:32 up 6:43, 1 user, load average: 7,38, 2,61, 1,03
12:47:34 up 6:43, 1 user, load average: 7,51, 2,72, 1,07
12:47:36 up 6:43, 1 user, load average: 7,51, 2,72, 1,07
12:47:38 up 6:43, 1 user, load average: 7,51, 2,72, 1,07
12:47:40 up 6:44, 1 user, load average: 6,99, 2,69, 1,07
12:47:43 up 6:44, 1 user, load average: 6,99, 2,69, 1,07
12:47:45 up 6:44, 1 user, load average: 6,43, 2,64, 1,07
12:47:47 up 6:44, 1 user, load average: 6,43, 2,64, 1,07
12:47:50 up 6:44, 1 user, load average: 5,91, 2,60, 1,06
12:47:52 up 6:44, 1 user, load average: 5,91, 2,60, 1,06
12:47:54 up 6:44, 1 user, load average: 5,44, 2,56, 1,05
12:47:56 up 6:44, 1 user, load average: 5,44, 2,56, 1,05
12:47:58 up 6:44, 1 user, load average: 5,44, 2,56, 1,05
12:48:01 up 6:44, 1 user, load average: 5,00, 2,52, 1,05
12:48:03 up 6:44, 1 user, load average: 5,00, 2,52, 1,05
12:48:05 up 6:44, 1 user, load average: 4,60, 2,47, 1,04
12:48:07 up 6:44, 1 user, load average: 4,60, 2,47, 1,04
12:48:09 up 6:44, 1 user, load average: 4,47, 2,48, 1,05
12:48:11 up 6:44, 1 user, load average: 4,47, 2,48, 1,05
12:48:14 up 6:44, 1 user, load average: 4,47, 2,48, 1,05
12:48:16 up 6:44, 1 user, load average: 4,12, 2,44, 1,05
12:48:18 up 6:44, 1 user, load average: 4,12, 2,44, 1,05
12:48:20 up 6:44, 1 user, load average: 3,79, 2,40, 1,04
12:48:22 up 6:44, 1 user, load average: 3,79, 2,40, 1,04
12:48:24 up 6:44, 1 user, load average: 3,48, 2,36, 1,04
12:48:27 up 6:44, 1 user, load average: 3,48, 2,36, 1,04
12:48:29 up 6:44, 1 user, load average: 3,20, 2,32, 1,03
12:48:31 up 6:44, 1 user, load average: 3,20, 2,32, 1,03
12:48:33 up 6:44, 1 user, load average: 3,20, 2,32, 1,03
12:48:35 up 6:44, 1 user, load average: 2,95, 2,28, 1,02
12:48:38 up 6:44, 1 user, load average: 2,95, 2,28, 1,02
12:48:40 up 6:45, 1 user, load average: 2,71, 2,24, 1,02
12:48:42 up 6:45, 1 user, load average: 2,71, 2,24, 1,02
12:48:44 up 6:45, 1 user, load average: 2,49, 2,21, 1,01
12:48:46 up 6:45, 1 user, load average: 2,49, 2,21, 1,01
12:48:48 up 6:45, 1 user, load average: 2,49, 2,21, 1,01
12:48:51 up 6:45, 1 user, load average: 2,29, 2,17, 1,01
12:48:53 up 6:45, 1 user, load average: 2,29, 2,17, 1,01
12:48:55 up 6:45, 1 user, load average: 2,11, 2,13, 1,00
12:48:57 up 6:45, 1 user, load average: 2,11, 2,13, 1,00
12:48:59 up 6:45, 1 user, load average: 1,94, 2,10, 0,99
12:49:02 up 6:45, 1 user, load average: 1,94, 2,10, 0,99
12:49:04 up 6:45, 1 user, load average: 1,94, 2,10, 0,99
12:49:06 up 6:45, 1 user, load average: 1,78, 2,06, 0,99
12:49:08 up 6:45, 1 user, load average: 1,78, 2,06, 0,99
12:49:10 up 6:45, 1 user, load average: 1,64, 2,03, 0,98
12:49:12 up 6:45, 1 user, load average: 1,64, 2,03, 0,98
12:49:15 up 6:45, 1 user, load average: 1,51, 1,99, 0,98
12:49:17 up 6:45, 1 user, load average: 1,51, 1,99, 0,98
12:49:19 up 6:45, 1 user, load average: 1,39, 1,96, 0,97
12:49:21 up 6:45, 1 user, load average: 1,39, 1,96, 0,97
12:49:23 up 6:45, 1 user, load average: 1,39, 1,96, 0,97
12:49:25 up 6:45, 1 user, load average: 1,28, 1,93, 0,97
12:49:28 up 6:45, 1 user, load average: 1,28, 1,93, 0,97
12:49:30 up 6:45, 1 user, load average: 1,17, 1,90, 0,96
12:49:32 up 6:45, 1 user, load average: 1,17, 1,90, 0,96
12:49:34 up 6:45, 1 user, load average: 1,08, 1,86, 0,96
12:49:36 up 6:45, 1 user, load average: 1,08, 1,86, 0,96
12:49:39 up 6:45, 1 user, load average: 1,08, 1,86, 0,96
12:49:41 up 6:46, 1 user, load average: 0,99, 1,83, 0,95
12:49:43 up 6:46, 1 user, load average: 0,99, 1,83, 0,95
12:49:45 up 6:46, 1 user, load average: 0,91, 1,80, 0,95
12:49:47 up 6:46, 1 user, load average: 0,91, 1,80, 0,95
12:49:49 up 6:46, 1 user, load average: 0,84, 1,77, 0,94
12:49:52 up 6:46, 1 user, load average: 0,84, 1,77, 0,94
12:49:54 up 6:46, 1 user, load average: 0,84, 1,77, 0,94
12:49:56 up 6:46, 1 user, load average: 0,77, 1,74, 0,94
12:49:58 up 6:46, 1 user, load average: 0,77, 1,74, 0,94
12:50:00 up 6:46, 1 user, load average: 0,71, 1,71, 0,93
12:50:02 up 6:46, 1 user, load average: 0,71, 1,71, 0,93
12:50:05 up 6:46, 1 user, load average: 0,65, 1,68, 0,92
12:50:07 up 6:46, 1 user, load average: 0,65, 1,68, 0,92
12:50:09 up 6:46, 1 user, load average: 0,60, 1,66, 0,92
12:50:11 up 6:46, 1 user, load average: 0,60, 1,66, 0,92
12:50:13 up 6:46, 1 user, load average: 0,60, 1,66, 0,92
12:50:16 up 6:46, 1 user, load average: 0,55, 1,63, 0,91
